"model","elpd_loo","p_loo","looic","estimate_(Intercept)","conf.low_(Intercept)","conf.high_(Intercept)","estimate_DO","conf.low_DO","conf.high_DO","estimate_polyDO21","estimate_polyDO22","conf.low_polyDO21","conf.low_polyDO22","conf.high_polyDO21","conf.high_polyDO22","estimate_polyDO31","estimate_polyDO32","estimate_polyDO33","conf.low_polyDO31","conf.low_polyDO32","conf.low_polyDO33","conf.high_polyDO31","conf.high_polyDO32","conf.high_polyDO33","r2","r2_error","r2_q2.5","r2_q97.5","id","model_type"
"a_0_27nov_4_lm_1",45.5200847833934,3.47063290675014,-91.0401695667868,0.138776052659059,0.103344134426788,0.175519204238772,-6.24508865842509e-05,-0.000552330426993114,0.000413046909192712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0402790747679211,0.0489802607710495,3.23663925271038e-05,0.177439788780104,"a_0_27nov_4","lm_1"
"a_0_27nov_4_lm_2",51.1341118736251,3.8392226621473,-102.26822374725,0.134766834731323,0.122945233830459,0.147348234860383,NA,NA,NA,-0.0117155840657778,-0.115299399934808,-0.0774990076501823,-0.178040416053243,0.0520909615544724,-0.0529048270069157,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.380711280168381,0.113469199002319,0.128391640852024,0.557418573316419,"a_0_27nov_4","lm_2"
"a_0_27nov_4_lm_3",49.274450532864,5.60309485967677,-98.548901065728,0.13472205961546,0.122135709765699,0.147823593504191,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0110386134003873,-0.114890645001554,-0.00190988171655913,-0.0739839467480674,-0.181290516066421,-0.0681444644044565,0.0550105232932618,-0.0476193125734148,0.0622096007554193,0.38450939139033,0.112056895414126,0.134656120053311,0.560580576511784,"a_0_27nov_4","lm_3"
"a_9_21nov_1_lm_0",55.206792567357,2.85851880388303,-110.413585134714,0.134602355228788,0.123161393456313,0.14599104568379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"a_9_21nov_1","lm_0"
"a_9_21nov_1_lm_1",55.8424632517733,3.57257778892643,-111.684926503547,0.110343136240697,0.0804934490839648,0.139723127242185,0.000314234312755433,-4.3134986535954e-05,0.000668263561208774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.130609821531271,0.0964594848479587,0.000821352157085298,0.338476505393784,"a_9_21nov_1","lm_1"
"a_9_21nov_1_lm_2",54.6217163989785,4.44225676766996,-109.243432797957,0.134600217000704,0.123650689927168,0.146017285538616,NA,NA,NA,0.0491443796799494,-0.00660934474185686,-0.0152653343722755,-0.068157614944057,0.107810103626244,0.0533561873192379,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155966585301176,0.0956845746205428,0.00850927953562407,0.353502998206822,"a_9_21nov_1","lm_2"
"a_9_21nov_1_lm_3",53.1717392837516,5.74086443759078,-106.343478567503,0.134620337608789,0.123344715042249,0.145472730782171,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0496269422284134,-0.00806067297346218,-0.0155264684690014,-0.0109582720190934,-0.070086436694337,-0.0754356102850068,0.11056703068083,0.0524102443213147,0.0465842432225088,0.188084806030759,0.09725876019068,0.0227886613235588,0.379944438842012,"a_9_21nov_1","lm_3"
"a_9_21nov_3_lm_0",49.9415875125678,2.64973187912914,-99.8831750251355,0.158638392024994,0.139235013145598,0.177115852286608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"a_9_21nov_3","lm_0"
"a_9_21nov_3_lm_1",57.6840890508504,3.80718988808135,-115.368178101701,0.0918413108182233,0.0589848524216261,0.125457281067945,0.00096684483397656,0.000536653057684232,0.00138576084703868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400306097966693,0.10429850943878,0.160801477810285,0.561068830739437,"a_9_21nov_3","lm_1"
"a_9_21nov_3_lm_2",58.5788565599549,4.47709868953273,-117.15771311991,0.158750006378135,0.144625644441729,0.173174440346516,NA,NA,NA,0.193680383707703,0.0755348946080946,0.108717175080486,-0.00387510907333423,0.274259455555955,0.156963601588547,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.461669285947006,0.0953498447500748,0.231021698650854,0.602476072341193,"a_9_21nov_3","lm_2"
"a_9_21nov_3_lm_3",57.791056507728,4.95333601208433,-115.582113015456,0.158553355104288,0.144511248414046,0.172500971299588,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.193949783445941,0.0745174714759256,0.0163985355608365,0.111370107999481,-0.00783971318058165,-0.0649784344658152,0.274948988791642,0.154789205221422,0.0975683457884203,0.465675978447036,0.0928838055944676,0.247240882466473,0.603998143190237,"a_9_21nov_3","lm_3"
"a_9_22nov_1_lm_0",50.4467432361683,3.88115536701155,-100.893486472337,0.132629041422774,0.117062881692745,0.147979237338664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"a_9_22nov_1","lm_0"
"a_9_22nov_1_lm_1",52.8008104120817,4.47352837595775,-105.601620824163,0.0872785399027093,0.0495351107946257,0.126513591335961,0.000620217196172785,0.000123771613631696,0.00109603491771817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.197538775025106,0.10723031855516,0.00928382622273989,0.398587464905164,"a_9_22nov_1","lm_1"
